class_index,class,accuracy,samples
0,apple,0.9599999785423279,100
1,aquarium fish,0.6299999952316284,100
2,baby,0.8199999928474426,100
3,bear,0.6600000262260437,100
4,beaver,0.0,100
5,bed,0.7599999904632568,100
6,bee,0.03999999910593033,100
7,beetle,0.009999999776482582,100
8,bicycle,0.8999999761581421,100
9,bottle,0.8600000143051147,100
10,bowl,0.5099999904632568,100
11,boy,0.6800000071525574,100
12,bridge,0.800000011920929,100
13,bus,0.41999998688697815,100
14,butterfly,0.14000000059604645,100
15,camel,0.4000000059604645,100
16,can,0.009999999776482582,100
17,castle,0.7900000214576721,100
18,caterpillar,0.019999999552965164,100
19,cattle,0.75,100
20,chair,0.9300000071525574,100
21,chimpanzee,0.029999999329447746,100
22,clock,0.9100000262260437,100
23,cloud,0.8299999833106995,100
24,cockroach,0.1599999964237213,100
25,couch,0.7099999785423279,100
26,crab,0.14000000059604645,100
27,crocodile,0.0,100
28,cup,0.33000001311302185,100
29,dinosaur,0.0,100
30,dolphin,0.009999999776482582,100
31,elephant,0.7099999785423279,100
32,flatfish,0.0,100
33,forest,0.6700000166893005,100
34,fox,0.03999999910593033,100
35,girl,0.49000000953674316,100
36,hamster,0.5199999809265137,100
37,house,0.550000011920929,100
38,kangaroo,0.0,100
39,keyboard,0.9100000262260437,100
40,lamp,0.5400000214576721,100
41,lawn mower,0.12999999523162842,100
42,leopard,0.10000000149011612,100
43,lion,0.1599999964237213,100
44,lizard,0.0,100
45,lobster,0.0,100
46,man,0.30000001192092896,100
47,maple tree,0.7400000095367432,100
48,motorcycle,0.9200000166893005,100
49,mountain,0.7300000190734863,100
50,mouse,0.14000000059604645,100
51,mushroom,0.03999999910593033,100
52,oak tree,0.0,100
53,orange,0.8700000047683716,100
54,orchid,0.38999998569488525,100
55,otter,0.07000000029802322,100
56,palm tree,0.9700000286102295,100
57,pear,0.25,100
58,pickup truck,0.9399999976158142,100
59,pine tree,0.2800000011920929,100
60,plain,0.0,100
61,plate,0.03999999910593033,100
62,poppy,0.0,100
63,porcupine,0.009999999776482582,100
64,possum,0.0,100
65,rabbit,0.009999999776482582,100
66,raccoon,0.07000000029802322,100
67,ray,0.0,100
68,road,0.6600000262260437,100
69,rocket,0.3799999952316284,100
70,rose,0.75,100
71,sea,0.7099999785423279,100
72,seal,0.009999999776482582,100
73,shark,0.4300000071525574,100
74,shrew,0.0,100
75,skunk,0.009999999776482582,100
76,skyscraper,0.5699999928474426,100
77,snail,0.0,100
78,snake,0.029999999329447746,100
79,spider,0.33000001311302185,100
80,squirrel,0.5199999809265137,100
81,streetcar,0.4300000071525574,100
82,sunflower,0.9599999785423279,100
83,sweet pepper,0.44999998807907104,100
84,table,0.27000001072883606,100
85,tank,0.009999999776482582,100
86,telephone,0.2800000011920929,100
87,television,0.800000011920929,100
88,tiger,0.03999999910593033,100
89,tractor,0.9599999785423279,100
90,train,0.6100000143051147,100
91,trout,0.05000000074505806,100
92,tulip,0.03999999910593033,100
93,turtle,0.03999999910593033,100
94,wardrobe,0.3700000047683716,100
95,whale,0.0,100
96,willow tree,0.14000000059604645,100
97,wolf,0.4300000071525574,100
98,woman,0.6700000166893005,100
99,worm,0.029999999329447746,100
